Network	Channel	YouTube URL	Status	Viewers	Duration
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=iipR5yUp36o	LIVE	7.8K watching	3 hours ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=7xzHnN-klTU	LIVE	590 watching	17 hours ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=qZDCy7_axMI	LIVE	592 watching	1 day ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=GFCjaMLD2ss	LIVE	592 watching	1 day ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=mRsFzwsDeQw	LIVE	592 watching	1 day ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=mxGMfIllDcs	LIVE	592 watching	2 days ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=rG93iWBlPZU	LIVE	11.4K watching	2 days ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=Box0hPjcXNU	LIVE	7.9K watching	2 days ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=izmSvu7TDy4	LIVE	592 watching	3 days ago
ABC News Live	ABC News Live	https://www.youtube.com/watch?v=aSl9Lijy6TM	LIVE	601 watching	3 days ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=gCNeDWCI0vo	LIVE	395.2M watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=V-G8aj3CnCk	LIVE	403.8K watching	1 hour ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=FRsprNTNiNM	LIVE	657.3K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=TdS4bijc6Lc	LIVE	46.9K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=CwYeH1McX80	LIVE	43.8K watching	5 days ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=S6WDQBLd62w	LIVE	12.6K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=WGcezIPzloo	LIVE	15.6K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=K7VJvQsC974	LIVE	14.1K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=5yBsrGTs8vo	LIVE	8.2K watching	11 hours ago
Al Jazeera English	Al Jazeera English	https://www.youtube.com/watch?v=rFiT4VDfw_Y	LIVE	14.8K watching	11 hours ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=iEpJwprxDdk	LIVE	30.6M watching	1 day ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=bLtPo0rcu0g	LIVE	10.4K watching	3 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=_p5jS37dN34	LIVE	766 watching	4 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=3AKEf9hnSpw	LIVE	7.8K watching	6 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=-V0yVpXHRUo	LIVE	6.5K watching	3 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=s-b9KkR1YWc	LIVE	4.7K watching	3 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=GePJkKzJk7k	LIVE	12.5K watching	4 days ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=KeUM2NWgLsQ	LIVE	5.5K watching	1 day ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=P9LTug_Q8ds	LIVE	2.3K watching	5 hours ago
Bloomberg Television	Bloomberg Television	https://www.youtube.com/watch?v=Vl5oX185-0k	LIVE	5.7K watching	3 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=3NzTv2o7Vag	LIVE	2.3K watching	1 day ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=tZ4DszpMR34	LIVE	113.3K watching	1 day ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=e6NVRQ6byL0	LIVE	5.3K watching	1 day ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=AezKd5Esxtg	LIVE	29.1K watching	1 day ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=6Py6D_Lak2Q	LIVE	2.0K watching	2 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=MQeDQWyhc4M	LIVE	3.8K watching	2 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=-bwx_7OosuA	LIVE	4.7K watching	3 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=k5cffFI1TOQ	LIVE	12.5K watching	3 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=kS8F-GKSRk0	LIVE	92.8K watching	4 days ago
CBS News (Web App)	CBS News (Web App)	https://www.youtube.com/watch?v=BFWuHW35JtE	LIVE	6.0K watching	4 days ago
CBS News 24/7	CBS News 24/7	https://www.youtube.com/watch?v=3NzTv2o7Vag	LIVE	2.3K watching	1 day ago
CBS News 24/7	CBS News 24/7	https://www.youtube.com/watch?v=tZ4DszpMR34	LIVE	113.3K watching	1 day ago
CBS News 24/7	CBS News 24/7	https://www.youtube.com/watch?v=e6NVRQ6byL0	LIVE	5.3K watching	1 day ago
CBS News 24/7	CBS News 24/7	https://www.youtube.com/watch?v=AezKd5Esxtg	LIVE	29.1K watching	1 day ago
CBS News 24/7	CBS News 24/7	https://www.youtube.com/watch?v=6Py6D_Lak2Q	LIVE	2.0K watching	2 days ago
